time,inside,type
"12/28/20, 8:00:00 PM EST",,pee
"12/28/20, 11:14:14 PM EST",,pee
"12/29/20, 3:13:09 AM EST",,pee
"12/29/20, 6:36:40 AM EST",,pee
"12/29/20, 7:24:40 AM EST",,pee
"12/29/20, 7:40:23 AM EST",accident,pee
"12/29/20, 10:34:16 AM EST",,pee
"12/29/20, 12:58:52 PM EST",,pee
"12/29/20, 4:11:10 PM EST",,pee
"12/29/20, 4:45:06 PM EST",,pee
"12/29/20, 5:01:20 PM EST",,pee
"12/29/20, 5:53:13 PM EST",,pee
"12/29/20, 6:24:01 PM EST",accident,pee
"12/29/20, 6:43:08 PM EST",,pee
"12/29/20, 7:03:19 PM EST",,pee
"12/29/20, 8:46:53 PM EST",,pee
"12/29/20, 10:50:08 PM EST",,pee
"12/30/20, 3:50:53 AM EST",,pee
"12/30/20, 7:14:07 AM EST",,pee
"12/30/20, 7:49:33 AM EST",,pee
"12/30/20, 8:53:09 AM EST",,pee
"12/30/20, 11:26:41 AM EST",,pee
"12/30/20, 12:12:43 PM EST",,pee
"12/30/20, 3:42:13 PM EST",,pee
"12/30/20, 4:13:38 PM EST",,pee
"12/30/20, 5:47:38 PM EST",,pee
"12/30/20, 6:19:06 PM EST",,pee
"12/30/20, 7:43:41 PM EST",,pee
"12/30/20, 7:08:42 PM EST",,pee
"12/30/20, 7:29:35 PM EST",,pee
"12/30/20, 8:50:06 PM EST",,pee
"12/30/20, 11:11:16 PM EST",,pee
"12/31/20, 3:37:50 AM EST",,pee
"12/31/20, 7:01:16 AM EST",,pee
"12/31/20, 7:42:05 AM EST",,pee
"12/31/20, 8:38:10 AM EST",,pee
"12/31/20, 9:00:59 AM EST",,pee
"12/31/20, 10:44:47 AM EST",,pee
"12/31/20, 11:08:39 AM EST",,pee
"12/31/20, 1:04:30 PM EST",,pee
"12/31/20, 1:32:48 PM EST",,pee
"12/31/20, 1:58:08 PM EST",,pee
"12/31/20, 3:06:30 PM EST",,pee
"12/31/20, 3:23:29 PM EST",,pee
"12/31/20, 3:44:40 PM EST",,pee
"12/31/20, 4:30:99 PM EST",,pee
"12/31/20, 4:50:38 PM EST",,pee
"12/31/20, 5:01:25 PM EST",,pee
"12/31/20, 5:58:22 PM EST",,pee
"12/31/20, 6:20:07 PM EST",,pee
"12/31/20, 7:50:29 PM EST",,pee
"12/31/20, 8:22:30 PM EST",,pee
"12/31/20, 9:43:54 PM EST",,pee
"12/31/20, 11:55:58 PM EST",,pee
"1/1/21, 7:11:27 AM EST",,pee
"1/1/21, 7:37:34 AM EST",,pee
"1/1/21, 8:33:32 AM EST",,pee
"1/1/21, 9:33:27 AM EST",,pee
"1/1/21, 11:32:50 AM EST",,pee
"1/1/21, 11:58:05 AM EST",,pee
"1/1/21, 12:57:00 PM EST",,pee
"1/1/21, 3:06:24 PM EST",,pee
"1/1/21, 3:54:26 PM EST",,pee
"1/1/21, 5:31:55 PM EST",,pee
"1/1/21, 6:03:08 PM EST",,pee
"1/1/21, 6:50:21 PM EST",,pee
"1/1/21, 7:27:40 PM EST",,pee
"1/1/21, 8:25:09 PM EST",,pee
"1/1/21, 8:52:02 PM EST",,pee
"1/1/21, 9:28:55 PM EST",,pee
"1/1/21, 10:52:32 PM EST",,pee
"1/2/21, 7:30:08 AM EST",,pee
"1/2/21, 8:23:03 AM EST",,pee
"1/2/21, 8:40:03 AM EST",,pee
"1/2/21, 9:46:14 AM EST",,pee
"1/2/21, 10:33:54 AM EST",,pee
"1/2/21, 11:44:26 AM EST",,pee
"1/2/21, 12:10:46 PM EST",,pee
"1/2/21, 12:38:10 PM EST",,pee
"1/2/21, 12:50:33 PM EST",,pee
"1/2/21, 1:36:55 PM EST",,pee
"1/2/21, 4:30:24 PM EST",,pee
"1/2/21, 5:05:25 PM EST",,pee
"1/2/21, 6:23:30 PM EST",,pee
"1/2/21, 6:53:18 PM EST",,pee
"1/2/21, 8:13:20 PM EST",,pee
"1/2/21, 8:54:54 PM EST",,pee
"1/3/21, 7:34:49 AM EST",,pee
"1/3/21, 8:00:11 AM EST",,pee
"1/3/21, 8:20:40 AM EST",,pee
"1/3/21, 9:00:48 AM EST",,pee
"1/3/21, 9:42:41 AM EST",,pee
"1/3/21, 11:00:35 AM EST",,pee
"1/3/21, 11:10:40 AM EST",,pee
"1/3/21, 11:38:04 AM EST",,pee
"1/3/21, 12:39:48 PM EST",,pee
"1/3/21, 1:18:18 PM EST",,pee
"1/3/21, 1:37:40 PM EST",,pee
"1/3/21, 3:00:14 PM EST",,pee
